department,time_of_day,day_of_week,number_of_patients,doctor_count,emergency_cases,waiting_time_minutes
Orthopedics,11,Monday,19,3,19,326
Pediatrics,14,Sunday,11,8,9,155
Neurology,7,Sunday,82,1,16,600
Pediatrics,3,Friday,54,5,12,300
Pediatrics,14,Monday,69,1,16,589
Cardiology,19,Tuesday,71,7,17,315
Neurology,16,Thursday,48,5,12,240
Neurology,12,Tuesday,35,2,16,345
Neurology,17,Saturday,47,1,14,456
Pediatrics,1,Sunday,81,7,11,275
Orthopedics,12,Wednesday,52,1,9,407
Neurology,12,Wednesday,86,3,12,342
General Medicine,21,Sunday,85,6,10,229
Pediatrics,14,Saturday,85,6,2,107
Cardiology,19,Wednesday,65,7,9,191
Orthopedics,9,Sunday,79,1,10,551
General Medicine,2,Wednesday,88,7,5,182
General Medicine,18,Sunday,14,2,0,41
Cardiology,2,Friday,33,6,5,142
Orthopedics,21,Thursday,52,8,4,104
Pediatrics,13,Thursday,85,5,6,188
Emergency,7,Tuesday,66,3,11,288
Orthopedics,22,Saturday,17,8,11,227
Cardiology,3,Sunday,48,8,6,154
General Medicine,19,Monday,51,4,1,83
Pediatrics,10,Tuesday,68,8,0,50
Orthopedics,10,Tuesday,95,5,17,364
Emergency,10,Sunday,57,5,11,223
Emergency,1,Sunday,94,3,6,296
Neurology,16,Tuesday,96,7,18,349
Neurology,8,Tuesday,81,9,2,89
Cardiology,1,Thursday,80,9,9,233
Orthopedics,23,Monday,48,1,10,474
Orthopedics,14,Tuesday,32,1,4,224
General Medicine,15,Thursday,6,5,1,27
General Medicine,3,Tuesday,61,1,7,501
General Medicine,7,Wednesday,61,4,13,279
Neurology,8,Tuesday,38,1,7,305
Orthopedics,4,Sunday,91,2,5,383
Orthopedics,15,Saturday,62,2,0,164
Emergency,12,Saturday,56,4,0,84
Neurology,6,Tuesday,33,8,7,138
Pediatrics,19,Friday,39,2,10,253
Neurology,16,Wednesday,79,9,17,312
Pediatrics,2,Monday,52,9,9,212
Emergency,4,Tuesday,37,2,11,320
Cardiology,18,Monday,79,1,19,600
Orthopedics,11,Wednesday,77,9,15,277
Emergency,6,Tuesday,82,2,4,269
Orthopedics,8,Friday,13,8,15,254
General Medicine,5,Thursday,52,3,11,320
Cardiology,16,Friday,71,1,5,442
Cardiology,15,Sunday,97,1,4,552
Emergency,22,Friday,87,2,0,272
Cardiology,2,Thursday,40,7,18,363
Pediatrics,20,Sunday,75,6,9,209
Cardiology,3,Thursday,96,2,13,536
Orthopedics,9,Saturday,48,4,2,98
Orthopedics,4,Thursday,86,2,5,360
Orthopedics,20,Tuesday,64,1,4,388
Orthopedics,21,Monday,67,3,16,359
Pediatrics,9,Saturday,9,4,17,272
Neurology,11,Saturday,91,5,11,260
General Medicine,9,Monday,90,5,4,156
Emergency,12,Saturday,94,7,8,194
Orthopedics,10,Thursday,80,8,11,230
Cardiology,21,Friday,44,9,19,316
Orthopedics,15,Wednesday,23,7,8,136
Cardiology,7,Thursday,51,5,2,92
General Medicine,7,Sunday,69,9,0,51
General Medicine,7,Sunday,71,8,14,269
General Medicine,12,Friday,95,9,9,198
Cardiology,1,Friday,22,8,13,255
Orthopedics,11,Saturday,54,6,6,141
General Medicine,9,Tuesday,34,4,3,100
Pediatrics,11,Tuesday,70,9,4,116
Cardiology,10,Saturday,9,9,19,294
Cardiology,14,Saturday,97,9,15,289
Orthopedics,15,Monday,46,3,2,113
Cardiology,16,Monday,88,3,16,392
Cardiology,1,Wednesday,98,6,12,326
General Medicine,17,Wednesday,9,6,5,91
Orthopedics,11,Wednesday,54,6,4,104
General Medicine,18,Wednesday,89,5,15,325
General Medicine,22,Friday,62,5,10,268
Orthopedics,17,Friday,83,2,16,461
Emergency,16,Monday,88,7,4,129
General Medicine,5,Tuesday,12,4,5,110
Pediatrics,14,Saturday,35,3,9,201
Pediatrics,2,Sunday,16,8,0,28
Cardiology,5,Tuesday,25,4,9,211
Pediatrics,2,Thursday,98,4,16,452
Cardiology,0,Friday,66,8,2,89
Emergency,12,Wednesday,95,1,1,504
Orthopedics,20,Wednesday,94,9,16,303
Orthopedics,13,Thursday,37,7,3,79
Orthopedics,12,Tuesday,30,2,1,105
Pediatrics,3,Wednesday,94,6,4,179
Emergency,6,Tuesday,44,8,9,167
Pediatrics,21,Saturday,69,5,0,83
Pediatrics,9,Thursday,63,6,0,61
Emergency,6,Sunday,19,8,3,67
Emergency,20,Tuesday,5,6,6,99
Emergency,14,Saturday,15,9,13,213
Emergency,14,Tuesday,59,9,13,233
Orthopedics,3,Tuesday,6,9,17,320
Neurology,22,Wednesday,69,6,1,99
Neurology,22,Monday,99,9,0,81
Emergency,5,Friday,48,3,15,369
Neurology,23,Tuesday,20,5,17,348
Neurology,19,Tuesday,26,2,15,305
Emergency,4,Tuesday,22,8,5,117
Neurology,19,Monday,51,4,9,209
Pediatrics,11,Saturday,85,6,1,97
Cardiology,0,Sunday,34,6,6,154
Cardiology,7,Sunday,14,5,16,267
Emergency,0,Thursday,62,1,2,417
Orthopedics,4,Wednesday,66,7,19,406
Emergency,21,Monday,89,8,11,232
Orthopedics,5,Saturday,84,1,1,524
Cardiology,20,Tuesday,10,7,6,110
Emergency,2,Saturday,71,4,16,410
General Medicine,14,Monday,45,6,18,313
Pediatrics,4,Monday,47,9,11,249
Neurology,23,Monday,89,5,8,260
Orthopedics,13,Thursday,81,8,13,253
General Medicine,17,Friday,22,5,1,43
Neurology,15,Wednesday,62,2,3,212
Neurology,5,Thursday,64,4,18,429
